,Sex,Strand,Year Level,Section,Number of Years in AdDU SHS,SBQ1,SBQ2,SBQ3,SBQ4,SBQ5,SBQ6,SBQ7,SBQ8,SBQ9,SBQ10,SBQ11,SBQ12,SBQ13,SBQ14,SBQ15,Spending Behavior,IQ1,IQ2,IQ3,IQ4,IQ5,IQ6,IQ7,IQ8,IQ9,IQ10,Influences,PCQ1,PCQ2,PCQ3,PCQ4,PCQ5,PCQ6,PCQ7,PCQ8,PCQ9,PCQ10,Perceived Changes,,,,
18,2,1,2,41,2,3,3,3,3,4,4,4,4,4,3,4,3,2,3,3,3.333333333,4,3,3,4,3,4,3,4,3,4,3.5,3,4,4,4,4,4,3,4,2,4,3.6,,,,
17,2,1,2,41,2,3,3,3,3,3,2,4,3,4,2,3,2,1,2,2,2.666666667,3,2,2,3,3,3,3,3,2,3,2.7,3,3,3,3,3,4,4,3,3,3,3.2,,,,
18,2,1,2,41,2,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3.666666667,3,3,3,4,4,3,4,4,2,4,3.4,3,4,4,4,3,4,4,4,4,4,3.8,,,,
17,2,1,2,41,2,4,4,3,3,2,2,4,3,2,4,3,3,3,4,3,3.133333333,2,2,2,1,4,4,2,3,4,4,2.8,4,3,2,4,2,4,3,3,4,4,3.3,,,,
18,1,5,2,70,2,4,3,3,3,4,4,4,3,3,3,4,4,3,4,3,3.466666667,3,3,4,3,4,4,3,4,4,4,3.6,4,4,4,4,4,4,4,4,4,4,4,,,,
17,1,1,1,5,1,3,2,1,3,4,2,4,4,4,3,4,4,3,1,1,2.866666667,3,3,3,4,3,2,3,3,3,4,3.1,2,2,4,4,3,4,4,4,3,3,3.3,,,,
18,2,1,2,42,2,3,3,3,3,3,2,3,4,4,2,4,3,3,3,3,3.066666667,3,3,2,3,3,2,3,3,2,3,2.7,2,3,3,4,3,3,3,3,2,4,3,,,,
18,2,4,2,78,2,2,4,3,4,4,4,4,4,4,3,4,2,2,2,2,3.2,3,2,1,3,3,3,2,3,2,3,2.5,3,3,3,4,4,4,4,3,2,4,3.4,,,,
18,1,1,2,49,2,4,3,3,3,4,4,4,4,4,2,3,3,2,4,4,3.4,4,2,2,2,3,2,4,4,4,4,3.1,3,2,3,4,3,4,4,4,2,4,3.3,,,,
16,2,4,1,40,1,2,4,4,3,4,4,4,4,4,3,4,3,2,2,1,3.2,3,2,2,3,3,2,3,4,2,3,2.7,3,3,4,4,4,4,4,4,3,4,3.7,,,,
